flight_date,departure.iata,departure.terminal,departure.gate,departure.scheduled,arrival.iata,arrival.terminal,arrival.scheduled,airline.iata,terminal_distance_m,terminal_walk_time_min,terminal_transport_method,connection_time_min,arrival_delay_min,scheduled_flight_min,departure_hour,day_of_week,risk_label,transport_friction,is_cross_airport,is_intl_hub,is_major_airport,is_peak_hour,terminal_change,has_delay_info,security_crowd,immigration_crowd,walking_time_min,security_time_min,immigration_time_min,congestion_time_min,baggage_time_min
1,18,0,436,356,376,0,459,86,400,5,33,123.0,12.0,150.0,15,0,2,1,1,1,0,0,0,1,2,2,5,20.0,30.0,8,10
1,9,5,436,359,391,0,445,43,500,6,33,82.0,2.0,75.0,15,0,2,1,1,0,0,0,1,1,2,2,6,20.0,0.0,8,10
1,5,0,68,329,77,27,405,144,4000,15,19,99.0,24.0,60.0,13,0,1,3,1,0,0,0,1,1,2,2,15,20.0,0.0,8,10
1,41,1,436,314,429,2,406,214,2500,10,20,72.0,22.0,140.0,11,0,0,3,1,0,0,0,0,1,2,2,10,20.0,0.0,8,10
0,1,19,260,208,275,27,164,24,600,8,32,96.0,25.0,7.0,23,6,1,1,1,0,0,0,1,1,1,1,8,16.0,0.0,3,10
0,21,13,266,97,320,0,122,131,700,5,30,111.0,7.0,171.0,18,6,2,3,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,18,0,401,348,78,6,450,42,400,5,33,112.0,9.0,155.0,14,0,2,1,1,1,0,0,1,1,2,2,5,20.0,30.0,8,10
1,23,24,436,304,126,27,377,25,1000,8,12,125.0,0.0,75.0,11,0,2,1,1,1,0,0,1,1,2,2,8,20.0,30.0,8,10
1,42,6,436,269,201,0,335,108,800,5,33,74.0,5.0,105.0,8,0,1,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,29,24,436,277,255,27,333,206,1100,5,16,83.0,8.0,52.0,8,0,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,22,1,59,364,299,0,459,59,900,5,25,115.0,14.0,110.0,16,0,2,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10
0,1,19,364,205,365,2,209,107,400,5,33,96.0,30.0,103.0,23,6,1,1,1,0,0,0,1,1,2,1,5,20.0,0.0,3,10
1,41,0,392,325,403,0,435,107,2500,10,20,115.0,7.0,210.0,12,0,2,3,1,0,0,0,0,1,2,2,10,20.0,0.0,8,10
1,36,1,408,287,248,27,352,112,400,5,35,84.0,37.0,65.0,9,0,0,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
